make,model,engine_code,engine_name,displacement,oilNorm,oilCapacity,brakeFluidType,coolantType,gearboxOilType,gearboxOilCapacity
Alfa Romeo,147 I,147-I-GEN,Generic 147 I engine,1.6L,5W-30,4.0L,DOT 4,Alfa Romeo G12,75W-90 API GL-4,2.0L
Alfa Romeo,147 II,147-II-GEN,Generic 147 II engine,1.6L,5W-30,4.0L,DOT 4,Alfa Romeo G12,75W-90 API GL-4,2.0L
Alfa Romeo,147 III,147-III-GEN,Generic 147 III engine,1.6L,5W-30,4.0L,DOT 4,Alfa Romeo G12,75W-90 API GL-4,2.0L
Alfa Romeo,156 I,156-I-GEN,Generic 156 I engine,1.6L,5W-30,4.0L,DOT 4,Alfa Romeo G12,75W-90 API GL-4,2.0L
Alfa Romeo,156 II,156-II-GEN,Generic 156 II engine,1.6L,5W-30,4.0L,DOT 4,Alfa Romeo G12,75W-90 API GL-4,2.0L
Alfa Romeo,156 III,156-III-GEN,Generic 156 III engine,1.6L,5W-30,4.0L,DOT 4,Alfa Romeo G12,75W-90 API GL-4,2.0L
Alfa Romeo,156 IV,156-IV-GEN,Generic 156 IV engine,1.6L,5W-30,4.0L,DOT 4,Alfa Romeo G12,75W-90 API GL-4,2.0L
Audi,A3 Berline,1.5TFSI,1.5L TFSI,1.5L,0W-20,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Audi,A3 Berline,2.0TDI,2.0L TDI,2.0L,5W-30,4.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Audi,A3 I,A3-I-GEN,Generic A3 I engine,1.6L,5W-30,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Audi,A3 II,A3-II-GEN,Generic A3 II engine,1.6L,5W-30,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Audi,A3 III,A3-III-GEN,Generic A3 III engine,1.6L,5W-30,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Audi,A3 IV,A3-IV-GEN,Generic A3 IV engine,1.6L,5W-30,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Audi,A3 Sportback,1.5TFSI,1.5L TFSI,1.5L,0W-20,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Audi,A3 Sportback,2.0TDI,2.0L TDI,2.0L,5W-30,4.5L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Audi,A4 I,A4-I-GEN,Generic A4 I engine,1.6L,5W-30,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Audi,A4 II,A4-II-GEN,Generic A4 II engine,1.6L,5W-30,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Audi,A4 III,A4-III-GEN,Generic A4 III engine,1.6L,5W-30,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Audi,A4 IV,A4-IV-GEN,Generic A4 IV engine,1.6L,5W-30,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Audi,A5,GENERIC,Generic engine,1.6L,5W-30,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Audi,A5 I,A5-I-GEN,Generic A5 I engine,1.6L,5W-30,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
Audi,A5 II,A5-II-GEN,Generic A5 II engine,1.6L,5W-30,4.0L,DOT 4 LV,VW G12EVO,75W-90 API GL-4,2.0L
